,음식점명
1,하도리1091
2,세러데이 아일랜드
3,말이
4,레이식당
5,웅스키친
6,갈레트 갈랑
7,종달리엔
8,삐꼴라쿠치나
9,초밥군커피씨
10,키친오즈
11,한림로342쩜빵
12,협재화덕 도나토스
13,코르소 제주
14,시즌박스
15,다람쥐식탁
16,털보네 고양이
17,담아래
18,저녁정원
19,아파트먼트 카페
20,커피타는야옹이
21,바다다
22,커피맛이멜로
23,제주카페스르륵
24,몰마농
25,카페 물고기
26,닻
27,올댓제주/탑동마차
28,풍림다방
29,바보카페
30,카페오길
31,카페리 CAFE RI
32,브릭스제주
33,행온
34,너는 파라다이스 길리
35,구름물고기
36,까미노
37,카페 가호
38,애월더선셋
39,니모메 빈티지 라운지
40,스테이굿무드(Stay good mood)
41,귤꽃카페
42,굿바이폴리
43,카페동백
44,마노르블랑
45,바다는안보여요
46,북촌에 가면
47,소년감성
48,오버더윈도우
49,이런날엔
50,키친오즈
51,아지
52,응식당
53,초량845
54,카페 초량
55,마틴커피로스터스
56,더가미
57,리틀 앤 머치
58,모던눌랑 센트럴시티점
59,카페 하품
60,다정도병인양
61,콩커피하우스
62,85
63,더피아노
64,키에리 KYERI
65,카페앤아더
66,카멜카페
67,레이어드
68,웨일즈독
69,서울리즘
70,몽모텔
71,리얼허브애견카페
72,카페라쿠나
73,프로젝트힐사이드
74,카페 라뷰
75,바라보다
76,플라워카페나무기린
77,뀌숑(CUISSON)
78,숨
79,어스17
80,크로프트 커피 (CROFT COFFEE ROASTERS)
81,블랙바나나
82,로즈마리누스
83,비스트로공작새
84,빈티지38
85,어반오아시스
86,탁이네 반려견카페
87,카린 영도 플레이스
88,프레드
89,헤이든카페
90,MMML
91,두낫헤지테이트
92,밥을 짓다
93,블루카페인(BLUECAFEIN)
94,히어앤나우
95,로우308
96,숲스토리
97,후트
98,헤이밍
99,카페벙커(본점)
100,빛꾸리
101,아덴
102,11체스터필드웨이
103,페트커피
104,홍앤리 식탁
105,코나하우스
106,스트롤링 커피 로스터스
107,시계태엽더시크릿
108,헤이그린
109,1997영국집
110,드네스
111,이슬미로
112,모노블
113,풍미독서
114,에스오이(SOE)
115,미로객잔
116,일 키아쏘
117,카페베이266
118,카페미카야
119,풍세커피
120,피자 아이코닉
121,오마일
122,Zero Complex
123,요새
124,아지오1101
125,르쟈뎅드카페
126,카페페이지
127,504b 로스터리 하남카페
128,브라이튼
129,그리너리
130,마이알레
131,어라운드마켓
132,차마실산
133,뽀앤쏘
134,앵커커피
135,행복이가득한집
136,스테이196
137,하늘마루정원
138,들바람꽃
139,에비뉴1465
140,카페 네살차이
141,알베로
142,샬롯
143,라벨라치타
144,홀썸커피
145,테이블탑커피
146,리오다
147,어반페어
148,카라멜부띠크
149,행아당
150,민스크
151,카페오하이오
152,워이워이
153,IWLT
154,유어예
155,다운트 (DAUNT)
156,콘체르토
157,카페갤러리(GALLERY)4978
158,꽃소년
159,팀버 구미역점
160,관광호텔 상상속의집
161,커피웰스
162,갤러리안나
163,카페 비
164,파인땡큐
165,뉴저지
166,비브레이브
167,카페 님만
168,듀윗(Deweet)
169,이름없는집
170,꽃달임
171,어제아래
172,커피앤톡 카이스트점
173,벨로빈
174,리틀 앤 머치
175,그랑블루
176,르미엘
177,카페 데니스
178,카페이든
179,카페오하이오
180,유달리 서면점
181,로페라
182,교동다원
183,멘무샤 전북대점
184,부엌애더클래식
185,소양고택 한옥스테이 & 두베카페 파티하우스
186,청사포 루프탑
187,띵독
188,기와양과점
189,어리석은물고기
190,Cafe Yield
191,청춘고양이카페
192,모란꽃이피었습니다
193,하루
194,카페앹(Cafe At)
195,쎄덱 분당점
196,마음의 양식
197,더 라운지
198,port1902
199,드림마켓
200,도쿄식탁
201,카페 클레어
202,클레마티스
203,로지노키친
204,우담
205,다이닝인사이공
206,카리브해
207,대가방
208,스페이스커피보이
209,파넬카페(Parnel Cafe)
210,문라이즈
211,알로하제니
212,막까파
213,"라룬비올렛,La Lune Violette"
214,카페 하이웨스트
215,16마르잔(16marzan)
216,다크플레이스
217,바라티에(Baratie)
218,7216키덜트키친
219,어반스페이스
220,슬지제빵소
221,하룻고양이앤하룻강아지
222,달 (달이야기)
223,휴일식탁
224,카페그곳
225,메종이이
226,미스센츄리
227,비스트로한
228,고래커피
229,그집 곰탕 닭곰탕
230,로얄오봉
231,벤자마스
232,카페 시젠
233,이요이요스시
234,펀비어킹 분당구판교테크노벨리점
235,카페 플러터
236,도그킹
237,마리오델모나코
238,마이디어스윗
239,미니멀키친
240,투썸플레이스 별내용암천점
241,다락
242,큰집게장정식
243,그레이비
244,치코
245,낙도맨션
246,휴식
247,월화여인숙
248,안전가옥
249,위드커피(With Coffee)
250,Cafe BNHR
251,올프리마
252,소반
253,앤커피스토리
254,팬시카페
255,개좋아
256,시즈닝_seasoning
257,양각리
258,웨이브온커피(Waveon Coffee)
259,젬스톤(Gemstone)
260,오르다카페
261,아줄레주
262,프라그란자
263,금남리커피
264,크럼브
265,빌리웍스
266,숨카페
267,완다맨숀
268,두모망
269,임프레션커피컴퍼니(impression coffee company)
270,슬로우벗커피
271,멜팅폼
272,더글라스하우스
273,개판5분전
274,위니드모어
275,휘게101
276,애견카페 AI
277,이도커피
278,블랑
279,오봉베르
280,토끼썸
281,몰토베네
282,카페 서울키친
283,아카이브 커피 스테이션
284,카페 휴아트
285,소보리당로222
286,보니타커피
287,서울커피상회
288,마이테라스 my terrace
289,로스터리 동경
290,테라로사커피
291,트라인커피
292,러브올낫
293,카페 이정원
294,원모어프로포즈
295,이에르바 (HIERBA)
296,어버트피
297,빈야커피
298,아름따다
299,카페 프릭스
300,컴투게더
301,카페 고블린
302,누보갤러리카페
303,스페이스 뷰
304,그린플래그 커피
305,은주식당
306,양림빵집
307,농도
308,도토리키친
309,골목카페 옥수
310,아라리오브네
311,핸즈커피 포르테 월배점
312,땡큐커피(ThanQ)
313,카페 네오 리즈(neo LEEDS)
314,오리지원
315,더스푼
316,슈발츠발트
317,더 카핑
318,부산커피박물관
319,빛꾸리
320,카페비미
321,카페2085
322,헤이메르
323,휘스커
324,엘로우
325,방코
326,늧(neut)
327,라갤러리에
328,니어앤디어
329,nmtm
330,도시농가코페 도코
331,카페그리고
332,다브앙 (davooang) 빈티지상점 & 카페
333,만다린반점
334,puul 풀
335,미도식당
336,클라임타워
337,인생밥집
338,오라운트 카페
339,브리즈
340,Meritullinkatu 메리툴린카투
341,베이비베이비 도그카페
342,비밀공간
343,블리스커피
344,제주가는길
345,해달별커피
346,신기숲
347,우동한그릇집
348,모립
349,소셜티클럽
350,91커피
351,따뜨시
352,카페 우즈
353,카페 아도록
354,온어스틸데이
355,하우스 베이커리
356,투테일스
357,그린노마드
358,카페 프라도
359,빈도씨 Bean°C
360,카페 동선동
361,카페 더로비
362,작은연못숲
363,오랑지
364,빵과 당신
365,카페 다루지
366,카페7
367,매료테이블
368,엣지 993
369,초량 1941
370,Eventide
371,정지영커피로스터즈
372,옥천 귀뚜라미
373,에베즈
374,프로제또안토니오
375,레이지모닝
376,디테일
377,커피(coffee)7000
378,24어클락
379,지화장갤러리카페
380,어나더블루
381,살롱드오하
382,쎄쎄종 cette saison
383,난드르 커피
384,느리게걷기
385,리베볼 -Liebevoll
386,그리다부부
387,까사오로 CASA ORO
388,오레노라멘
389,무상찻집
390,아이사구아
391,사르르
392,연우재
393,길조호텔
394,후식당
395,체리커피
396,키친 동백
397,초록스토어
398,고유한
399,피치 그레이
400,피치 그레이
401,카페산정
402,카페차롱
403,마이포터리
404,무우루
405,쎄덱 강남점
406,쎄덱 대전점
407,쎄덱 제주점
408,쎄덱 대구점
409,쎄덱 부산점
410,더스팟패뷸러스
411,카페 모알보알
412,렐로우
413,"카페,산아래"
414,레이크야드
415,꾸끼(kkukki)
416,알맞은시간
417,제피렐리
418,당당
419,소친친 中国餐厅
420,LOFT1010
421,멜로우선샤인
422,엘리스 리틀 이태리 공덕점
423,SOOWOO plant cafe
424,매튜박
425,뷰클런즈
426,카페시소
427,소하고택
428,코랄라니
429,굴림
430,여여로
431,서피비치 코로나썬셋바
432,티파이
433,행궁맨션
434,카페 에이에이엠
435,페이드인(FAdE IN)
436,카쿠
437,용정바른얼굴식당 망원점
438,한옥 아원(아원고택) / 아원갤러리
439,고페르
440,녹아내려
441,리리88
442,헤이마잇
443,카페수블리
444,커피명가 보스케☕BosQue
445,포둥포둥
446,쌍곰다방
447,카페부르르
448,최고당돈가스 소하점
449,호텔 707
450,아워온즈
451,릴리프커피